City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Notse,TG,73.53,overcast clouds,6.95,1.1667,Le Berceau
Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
Rikitea,PF,75.13,clear sky,-23.1203,-134.9692,People ThankYou
Xicotencatl,MX,78.75,broken clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Ribeira Grande,PT,71.74,light rain,38.5167,-28.7,Quinta da Meia Eira
Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
Yulara,AU,75.74,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Vao,NC,70.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
Urucara,BR,79.57,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
Ponta Delgada,PT,74.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
Pithoro,PK,77.85,scattered clouds,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
Lompoc,US,77.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Bull Savanna,JM,77.65,overcast clouds,17.8868,-77.5902,Big Red's
Shingu,JP,75.85,broken clouds,33.7333,135.9833,Shingu UI Hotel
Atuona,PF,76.86,light rain,-9.8,-139.0333,Villa Enata
Hasaki,JP,75.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
Almonte,ES,73.87,clear sky,37.2647,-6.5167,Casa Halcon
Metro,ID,76.12,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
Santa Cruz De La Palma,ES,72.14,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
Saint Anthony,US,71.49,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
Sao Filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
Paracatu,BR,72.63,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
San Quintin,MX,70.02,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
Kota,IN,76.89,clear sky,25.1833,75.8333,Hotel Surya Royal
Kuala Terengganu,MY,73.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
Kavaratti,IN,79.95,overcast clouds,10.5669,72.642,Green leaf
Faanui,PF,78.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Awbari,LY,79.95,clear sky,26.5921,12.7805,استراحة الشارب العائلي
Cayenne,GF,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Cascais,PT,74.55,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
Itaituba,BR,79.75,very heavy rain,-4.2761,-55.9836,Hotel Campos
Katsuura,JP,75.69,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Oriximina,BR,78.46,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Cibeureum,ID,73.8,overcast clouds,-7.3552,108.2693,OYO 2674 Siliwangi Guest House Syariah
Aneho,TG,75.4,overcast clouds,6.2333,1.6,Hotel La Linette
Bandarbeyla,SO,76.93,overcast clouds,9.4942,50.8122,JABIR HOTEL
Sitamau,IN,71.74,clear sky,24.0167,75.35,सीतामऊ
San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
Dumka,IN,76.87,overcast clouds,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
Gondanglegi,ID,79.48,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
Bathsheba,BB,79.41,light rain,13.2167,-59.5167,Atlantis Hotel
Ipixuna,BR,77.67,overcast clouds,-1.7625,-48.8043,Chalé do Mato
Hobyo,SO,76.24,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
Cordoba,AR,72.75,clear sky,-31.4135,-64.1811,Hotel Sussex
Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
Vila Franca Do Campo,PT,74.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
Bam,IR,74.61,clear sky,29.106,58.357,Bam Tourist Hotel
Nipawin,CA,71.64,clear sky,53.3668,-104.0009,Tobin Lake Motel
Buin,CL,73.44,clear sky,-33.7333,-70.75,Paihuen
Garissa,KE,71.8,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
Loandjili,CG,76.77,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
Noumea,NC,73.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
Itapage,BR,73.17,few clouds,-3.6867,-39.5861,Pousada Itajavé
Arrecife,ES,73.38,few clouds,28.963,-13.5477,Hotel Lancelot
Meulaboh,ID,75.99,overcast clouds,4.1363,96.1285,Kost Pria
Tra Vinh,VN,78.58,overcast clouds,9.9347,106.3453,Hồng Ân
Senador Guiomard,BR,76.75,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
Takoradi,GH,74.75,scattered clouds,4.8845,-1.7554,Raybow International Hotel
Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
Vaitape,PF,78.89,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
Nawa,IN,76.48,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
Zacualpan,MX,79.29,overcast clouds,21.25,-105.1667,La Colorada B&B
Touros,BR,76.82,clear sky,-5.1989,-35.4608,INN NEW HORIZON
Wamba,NG,70.75,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
Xuchang,CN,70.43,broken clouds,34.0167,113.8167,Super 8 Hotel
Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Carutapera,BR,79.16,broken clouds,-1.195,-46.02,Lidera
Humaita,BR,75.69,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
Tarakan,ID,78.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
Jaipur,IN,79.92,haze,26.9167,75.8167,Hotel Kalyan
Junction City,US,78.4,clear sky,39.0286,-96.8314,Comfort Inn & Suites Junction City - near Fort Riley
Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
Warri,NG,72.95,overcast clouds,5.5167,5.75,GT Guesthouse
Pacific Grove,US,73.08,smoke,36.6177,-121.9166,Lovers Point Inn
North Fort Myers,US,79.05,clear sky,26.6673,-81.8801,Best Western Fort Myers Waterfront
Blairmore,CA,71.19,clear sky,49.6,-114.4353,Highwood Motel
Balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
Eureka,US,71.67,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
Acapulco,MX,79.52,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Half Moon Bay,US,75.88,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
Mitsamiouli,KM,73.62,clear sky,-11.3847,43.2844,Foyer ADM
Soe,ID,76.24,scattered clouds,-9.8607,124.284,Dena Hotel
Seoul,KR,71.17,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
Prabumulih,ID,74.07,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
Tura,IN,72.63,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
Qui Nhon,VN,77.77,overcast clouds,13.7667,109.2333,Seagull Hotel
Luis Correia,BR,78.69,few clouds,-2.8792,-41.6669,Hotel Amarração
Pasni,PK,78.53,clear sky,25.2631,63.471,Kashmiri Hotal
Padang,ID,77.11,overcast clouds,-0.9492,100.3543,Mercure Padang
Omboue,GA,75.67,overcast clouds,-1.5746,9.2618,Hotel Olako
Russell,US,78.08,clear sky,32.3502,-85.1999,Macs
Garoua,CM,74.39,light rain,9.3,13.4,Dreamland Hotel Annexe Bockle
Tucuman,AR,77.0,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
San Carlos,VE,75.36,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
Na Klang,TH,72.7,overcast clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
Wajir,KE,73.09,broken clouds,1.7471,40.0573,Mahatallah Hotel
Praia Da Vitoria,PT,71.76,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
Mackay,AU,74.68,light rain,-21.15,149.2,International Lodge Motel
Bowen,AU,77.68,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
Itarema,BR,77.63,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Casimiro Castillo,MX,72.73,overcast clouds,19.6,-104.4333,Hotel San José
Sampit,ID,77.16,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
Cuddapah,IN,75.51,overcast clouds,14.4667,78.8167,Swagath Residency A/C - OYO Rooms
Misratah,LY,74.66,clear sky,32.3754,15.0925,Almasa Hotel
Dahra,DZ,79.99,overcast clouds,36.2546,0.8519,Ein Matboul
Mogadishu,SO,76.53,overcast clouds,2.0371,45.3438,Hotel Juba
Bardiyah,LY,74.57,clear sky,31.7561,25.0865,بورتو بردية
San Juan,AR,76.28,clear sky,-31.5375,-68.5364,Hotel Provincial
Lhokseumawe,ID,76.32,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
