City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Ushuaia,AR,-54.8,-68.3,44.26,61,0,6.91,clear sky
Pangai,TO,-19.8,-174.35,82.51,57,40,13.8,scattered clouds
Bichura,RU,50.5881,107.6022,29.41,58,99,5.26,overcast clouds
Hilo,US,19.7297,-155.09,85.24,69,20,10.36,few clouds
Notse,TG,6.95,1.1667,73.53,97,99,2.39,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,52.14,93,30,6.13,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,50.09,78,40,13.8,scattered clouds
Busselton,AU,-33.65,115.3333,55.18,56,68,10.87,broken clouds
Vaini,TO,-21.2,-175.2,77.16,78,75,8.05,broken clouds
Rikitea,PF,-23.1203,-134.9692,75.13,62,7,4.65,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,4.61,overcast clouds
Kindu,CD,-2.95,25.95,68.92,99,85,1.5,light rain
Ilulissat,GL,69.2167,-51.1,30.22,93,75,4.61,broken clouds
Dunedin,NZ,-45.8742,170.5036,49.15,72,45,20.13,scattered clouds
Aklavik,CA,68.2191,-135.0107,29.5,92,99,4.79,light snow
Thompson,CA,55.7435,-97.8558,69.96,40,40,17.27,scattered clouds
Yermish,RU,54.7678,42.2711,61.05,92,100,12.15,overcast clouds
Broome,US,42.2506,-75.833,53.65,79,0,6.91,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,50.85,95,100,20.18,light rain
Saint-Philippe,RE,-21.3585,55.7679,67.59,78,24,8.5,few clouds
Bluff,NZ,-46.6,168.3333,47.8,53,95,20.67,overcast clouds
Albany,US,42.6001,-73.9662,51.67,65,100,7.9,overcast clouds
Upernavik,GL,72.7868,-56.1549,20.8,87,19,9.42,few clouds
Passy,FR,45.9203,6.6877,56.48,92,60,3.71,broken clouds
New Norfolk,AU,-42.7826,147.0587,55.92,64,99,2.3,overcast clouds
Lorengau,PG,-2.0226,147.2712,85.21,67,27,9.08,scattered clouds
Xicotencatl,MX,23.0167,-98.8833,78.75,63,82,2.24,broken clouds
Mahebourg,MU,-20.4081,57.7,70.25,77,20,8.05,few clouds
Srednekolymsk,RU,67.45,153.6833,26.87,74,93,2.53,overcast clouds
Port Alfred,ZA,-33.5906,26.891,61.18,98,8,1.99,clear sky
Jaguaruna,BR,-28.615,-49.0256,60.78,92,14,5.41,few clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,66,75,8.05,broken clouds
Mount Abu,IN,24.6,72.7,63.39,76,0,3.33,clear sky
Dudinka,RU,69.4058,86.1778,31.62,95,100,17.6,light snow
Ribeira Grande,PT,38.5167,-28.7,71.74,87,96,10.16,light rain
Avarua,CK,-21.2078,-159.775,77.05,61,20,19.57,few clouds
Jamestown,US,42.097,-79.2353,51.39,71,20,4.61,few clouds
Loukhi,RU,66.0764,33.0381,38.28,97,82,5.35,broken clouds
Amga,RU,60.8953,131.9608,27.5,70,100,8.68,overcast clouds
Yulara,AU,-25.2406,130.9889,75.74,45,21,16.78,few clouds
Hamilton,US,39.1834,-84.5333,65.25,63,20,17.27,few clouds
Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,10.36,clear sky
